@relation Twitter
@attribute body string
@attribute classOfTweet {Y,N}
@data
"Trump is an offensive blowhard. His little stint yesterday with Palin, Cruz and the Duck Dynasty miscreant was beyond embarrassing. ",Y
"How is trump going to handle the time restrictions of the debates? He can??t state anything short order. Will he blame the moderators? Fox news? Decide the field needs thinning?",N
"Donald Trump/ See: 1.We all too stupid. 2.He thinks we too stupid. 3. Well vote for me, I done business in the hood las?? night. Being rich has a demented effect on a Republican like him. What an example of stupidity politicking.",Y
"Trump is no more racist than your average Islamic.",Y
"Trump is a rather scary politician. Hopefully his rise will be short lived. But we can expect a politician like him in Europe in the near future.?",Y
"Trump will win the Republican nomination for the 2016 Presidential elections - and most of you commenting here haven't a clue why?",Y
"Donald Trump is GROSS and disgusting. Would never want him to speak for me.",Y
"Donald trump is a fucking piece of shit and if he wins I'm fucking moving to Canada fuck that shit",N
"Trump is a greedy, arrogant, selfish prick. Exactly the opposite of what America needs.",N
"Trump and Christie have views that are so narrow-minded and closed-minded, and such a person should never be considered for the Presidency, nor any other office, because they don't have the best interest of the people of this land!",N
"Donald Trump continues his war against Hispanics. Don't believe me? Just ask him, he'll tell you and this is the new face of the Republican Party? Look at the way they disrespected Obama and guess what amigos? You're next!",Y
"If trump gets the nomination it will be the end of the GOP for the next 20 years. People seem to forget Fox news type voters are a minority and getting smaller every year.",Y
