@relation Twitter
@attribute body string
@attribute classOfTweet {Y,N}
@data
"Heh...well we know Trump likes his women blonde and dumb and more importantly 'silent'. Though I''m not crazy about Kelly at least she is an intelligent woman - I'm sure Trump didn't know what to make of it.",Y
"Trump is arrogant, aggressive, sexist and over confident. Give him a sex change and some nice make-up and you get Megyn Kelly",Y
"A look at Trumps's twitter account show's the source of Trump's power, and its something that has been growing for a long time and it's something that will continue to grow",Y
"The problem is not Trump, let him say what he wants after all it is a ''free'' country??",N
"At least Trump, unlike Marco Rubio, does not seem to be for sale to Sheldon Adelson. ''An intense courtship: This is just the latest in an aggressive string of moves by Rubio to win over one of the GOP??s biggest donors.",N
"The U.S model of selecting a Presidential candidate is worthy of copying in other democracies also.The voters come to know of candidates like Mr.Trump beforehand so that they have enough time to decide either to accept or dump him",N
"Trump's SUPPOSED to spark outrage. it's right there in the staging notes. His role is a combination of Iago and Richard III",Y
"megyn kelly is a racist who doesn't hide her opinions Trump ia a racist and misogynist both of are despicable people",N
"Don't blame Donald. It's not his fault. He's just immature, especially when his Nanny forgets to change his nappies.",N
"He talks about solutions but no specifics on why he thinks it would work, or how much it would cost. He is out of his depth. But having said that he would probably be no worse than the professional politicans who get elected",Y
"People only have to look at what Trump tried in Scotland a few years back to see what kind of person he is.",N
"It could be that we as a nation are coming to understand politics as theater.",Y
"I don??t frankly have time for total political correctness.",Y
"Awesome how Trump feels completely entitled to make fun of other people on their looks",N
"When you get to read all Trump's replies in order, then you realize, he won the debate",N
"The Donald would get my vote if he moves his brands to America to be made here.",N
"Go for it Donald. Our country is in deep trouble. Don??t stop with the truth.",Y
"Everything Donald Trump is railing against seems to be a direct result of the drug war, which he wants to continue",Y
"Donald Trump is a very rich, but very sick, man. He is living proof that any American citizen, 35 or over, can run for President",Y
"I am Hispanic, take no offense from Trump and want him for President",N
"Trump is an absolute gift for Democrats. Perhaps he??ll consider defending Bill Cosby, too, another ??successful,?? and terribly misunderstood person ( and a possible running mate for Trump. Sleaze and sleazier.)",Y
"Donald Trump is speaking about illegal immigration, not those who come here legally. Business will of course attack him. They want the illegals because they will work for practically nothing.",Y
"Trump announces there will be hell TOUPEE if he becomes President",N
"An article came out today showing that a lot of illegal immigrants are working for the Trump organization. Typical hypocrite talking from both sides of his mouth.",N
"What I don??t agree with is the Mexican cultural love for dog fighting, where these dogs are made to fight each other. These poor dogs have their faces and noses ripped up, ripped off even. They lose ears.",N
"Donald Trumps right on all counts except one, Mr Trump said some were not criminals, but, the truth is they, illegal immigrants, are all criminals, unless all of a sudden we have open borders.",Y
"Trump is just saying what everyone is thinking!! Hypocrits, all of you who are persecuting him for telling our truth.",Y
"Trump is correct. Our own government some time ago, said that they estimated that 20% to 30% of all those hundreds coming into the U. S. Illegally every day are criminals of the worst kind.",N
"Mr Trump needs to b aware of the fact that we are not only deporting undocumented people. My son lived legally in this country for 34 years was an educated tax payer.",N
"Trump is oblivious to the facts regarding undocumented immigrants. Accoridng to Pew Research Center, 55 % of the ll million undocumented immigrants are Mexican while 45% are from other countries?CCanada, Ireland, Sweden just to name a few.",N
"The media has intentionally distorted Trump??s remarks. Illegal immigration is hurting the American people and the anti-American takeover is a reality. Trump is the only one saying what many Americans feel.",N
"Trump is delusional. There is no way would want this megalomaniac with his finger on the button",N
"Trump is right. It is an inconvenient truth for the PC police but screw them. The government needs to do its job and control who comes across our borders.",N
"The issue is not whether Trump offers jobs (although that too would be nice). The borders are now open to anyone who arrives. These people have no money and no skills.",Y
"This guy is making politics interesting again and putting fear into the career corporate politicians",Y
"Trump is saying what he feels. With him at least you know what you get and what to expect. Who says the others (whether democrats or republicans) are any better?",Y
"Everyone in the world is a racist and yes Donald Trump is speaking his mind freely and you are welcome to do that thanks to the constitution but he is an idiot because everyone in this country is illegal",Y
"GO TRUMP GO! DEPORT ALL THE ILLEGALS..",Y
"Bernie Sanders may make the crop politicians worried. But not Trump.",N
"Trump is cherry-picking, in order to make the case that his rhetoric isn't hurting him and the party with non-white voters.",N
"Trump will not be the GOP nominee. He is an entertaining buffoon but at age 70 in 2016 he will be too exhausted from ''interviewing''",N
"Blacks and Trump are just alike. All they care about is money and superficial image.",N
"Trump thinks ''the Blacks'' have it pretty easy.?",N
"He is referencing reverse discrimination. White males are being shoved under due to the current prejudiced environment.",Y
"His name is Trump, and he is a multibillionaire. Your name is Bump, and your whole life is...what? The bump is jealous.",Y
"A vote for Trump is a vote for HATRED.",Y
"Trump will be good for the majority of Americans.",Y
"I am a black Independent voter, Trump's got my vote!",N
"I don't think so. I doubt Trump will even get the GOP nomination. Not even the GOP is that dumb.",Y
"Trump is showing respect for Latino-Americans by holding them to the same expectations of lawful behavior as everyone else.",Y
"I think Trump is a master negotiator and if he wanted to do a deal with Iran or Putin, he'd tell someone to get them on the phone as the first step.",Y
"Trump is not a coward and he won't be bought. He owes no one. He won't favor one group over the other. He will follow the rule of law just for starters.",N
"Those are the rules of the game now. Ask Trump.",N
"Trump had them scared last debate but this time I think the gloves will be taken off. ?He told them he would lay down smack if they were mean to him they found out all he would do is beat up on the women, one of them wasn't even there to defend herself.",Y
"It's called being Trumped.",Y
"I'll predict some kind of a dustup with Dana Bash and Donald Trump.",N
"Trump says we can have our auto jobs back as soon as we match the wages paid in Mexico.",Y
"Trump is going to tax the Corporate Executives and the Hedge Fund Managers just like everyone else... good thing he has is own money.... he ain't getting any of theirs.....",Y
"Trump will mandate perfection all by himself, and one time Carson cut a brain. ?So all is good in Repubworld.",N
"Trump has the ruling class elite sh2tting their pants from both parties!! Looks like the gravy train is over",N
"Trump is fine- These over entitled little sjw girls are the problem in all this. Trump is fine- tThese over entitled little sjw girls are the problem in allTTT this. Trump is a narcissistic t u rd with all the charm of a cheese grater in your underpants.",N
"How to run for president, according to Donald Trump",N
"Trump can say anything he wants and get away with it... Taking freedom of speech to another level, I don't think so! Lacking some class.",N
"Trump is a fragged Pitbull",N
"The Donald may be off his rocker in many ways, but no one can quarrel with his ability to inject a bit of entertainment value into normally-BS u.s. politics.",N
"I have supported Donald Trump but now he is acting like a wet behind the ears teenager! Donald you are no longer a spring chicken and you do not photograph well and I don't think your wife is that hot like you do. Stop with the insults or people will go with someone else",N
"Mr. Trump's missions are to feed his ego with his followers' blind adoration, to make the Republicans look ridiculous, and to divert voters' attention from the real issues with his sideshow.",Y
"Trump is too cocky and childish to be a president. Always throwing his toys out with disregard to peoples feelings. He lacks the restraint required f a world dignitary. ",Y
"Trump can win this thing but he needs to tone it down just a bit and steer away from comments like this.",Y
"Trump please stops insulting women. Remember you once had a mother ",Y
"Trump is god! Get used to it!",Y
"Trump has the looks and personality of an orangutans. I am sure his supporters will like my lack of political correctness. Unless they are hypocrites.",N
"Don't worry about Trump becoming POTUS. Enjoy his ridiculous comments, laugh with the majority of Americans concerning Trump. He will drop out of the race well before election time. ",Y
"I think that was a real low blow for Trump. There is absolutely nothing wrong with her face. ",N
"Trump must know what he is doing, his poll numbers go up with every controversy.",N
"Unfortunately Mr. Trump has to spend an inordinate amount of time clarifying his poor choice of words and statements which leads me to believe he is not a very good communicator.",N
"Oh yes because Donald Trump is such an Adonis!",N
"Trump is the antichrist",N
"Trump doesn't back down. If that's what you want vote Sanders ",Y
"Keep talking, Donald. Every time you speak, you dig yourself a bigger hole. This guy had many supporters and could have actually taken the Republican nomination, had it not been for his continually huge gaffs and childish attacks on anyone who opposes or even questions him.",N
"The Donald has such a beautiful face. He's a real pretty boy. ",N
"Trump is an offensive blowhard. His little stint yesterday with Palin, Cruz and the Duck Dynasty miscreant was beyond embarrassing. ",Y
"Donald Trump the man who has been married 4 times, filed bankruptcy 3 times. And people what this man as President? You know I say let??s go back to a Right-wing Republican Regime again. Then we all can start chanting ??impeachment, impeachment??",Y
"How is trump going to handle the time restrictions of the debates? He can??t state anything short order. Will he blame the moderators? Fox news? Decide the field needs thinning?",N
"Donald Trump is a bloviated blowhard. His criticism of our President is pure bullcrap. Trump was called out by the President at the Washington Press Club dinner last year, and I think he??s been stewing over it the whole time.",Y
"Donald Trump/ See: 1.We all too stupid. 2.He thinks we too stupid. 3. Well vote for me, I done business in the hood las?? night. Being rich has a demented effect on a Republican like him. What an example of stupidity politicking.",Y
"He's arrogant, rude, loud-mouthed, possesses a great deal of ignorance, and is filthy rich.",Y
"Trump is no more racist than your average Islamic.",Y
"Trump just says what everybody thinks.",Y
"Trump is a rather scary politician. Hopefully his rise will be short lived. But we can expect a politician like him in Europe in the near future.?",Y
"Trump is an adequate man, and only naturally on American law have to be president. I would doubt if he should but he is self-made candidate for the past.",N
"Trump will win the Republican nomination for the 2016 Presidential elections - and most of you commenting here haven't a clue why?",Y
"I am part of the 99% of America not the 1% that trump favors",N
"Donald Trump is GROSS and disgusting. Would never want him to speak for me.",Y
"Donald Trump is a sick man and his views are regressing. We want our nation to make progress!",Y
"Donald trump is a fucking piece of shit and if he wins I'm fucking moving to Canada fuck that shit",N
"Donald trump has proven to be a violent, greedy human. Why someone with such a sick mind could be given the chance to lead a nation is completely ridiculous and careless.",N
"Trump is a greedy, arrogant, selfish prick. Exactly the opposite of what America needs.",N
"Donald Trump is a horrible human who belittles Latinos but also women and anything else that stands in his way. He does not deserve to even be running for president. He stand for everything that's wrong not just as president, but as a human being.",Y
"Trump and Christie have views that are so narrow-minded and closed-minded, and such a person should never be considered for the Presidency, nor any other office, because they don't have the best interest of the people of this land!",N
"I don't want Trump to be president, I think that he is an ignorant person and doesn't have empathy for Mexicans",Y
"Donald Trump continues his war against Hispanics. Don't believe me? Just ask him, he'll tell you and this is the new face of the Republican Party? Look at the way they disrespected Obama and guess what amigos? You're next!",Y
"Liberals are good people...as long as you agree with there stupid agenda. Trump is not racist for his straight talk.",N
"If trump gets the nomination it will be the end of the GOP for the next 20 years. People seem to forget Fox news type voters are a minority and getting smaller every year.",Y
