@relation Twitter

@attribute TwitterNum numeric
@attribute body string
@attribute classOfTweet {pos,neg}

@data
1229992158,'yes, I carefully chose the descriptor of \"big brother\" for Bill because he can be both protector and tormentor.  ',pos
1230068786,'Recording video using jailbroken iPhone! ',pos
1230694371,'Well, he has trained us to clean up after him so far ',pos
1228511522,'Funniest tweet I\'ve ever seen: USER 12 hrs ago, about going to an install at CHP sniffer dog training school. ',pos
1229120129,'playing rock band...I just sang on the Mic and did an amazingly awful job ',pos
1230233126,'Merry Christmas to you aswell!  (From the whole Famm.)',pos
1228136128,'we\'ve definately come up w/more than our fair share of awful acronyms but L10N and I18N weren\'t our making. ',pos
1229571806,'I was in fact on my way to gas station to fill it up but didnt realize tht I m almost out..my mileage seems to be down!! ',pos
1229132208,'Mmm Barcelona martinis FTW ',pos
1228538795,'many thanks! great seeing you there ',pos
1230725140,'I bet you would have a blast. The Dr.P from Dublin is like no other. ',pos
1229050545,'sugar cookies for me please ',pos
1229106304,'Hi Tori ~ received the giveaway gift from KuBit2Me Lil\' Scholars ~ my little one loves it ~ thx u ',pos
1231176253,'hiiiiiiii gorgeous!!! ',pos
1227621333,'I\'m an alto that doubled as a tenor..... ',pos
1229779668,'Some guy just continuously coughed (no cover) over my clean folded laundry! WTF! &gt; man..  Life is kind of comedic sometimes.  :P',neg
1229897706,'Jst had dinner...will sleep in a while..I wanted to complete so mch work this weekend bt did very little..got to put in extrahrs trrow!!',neg
1227655021,'Oh yes...Been there... I now have a backup minifridge next to the big fridge so I don\'t lose my insulin (or my diet cokes!) ',pos
1229366229,'Still working on fixing my blog; realizing posts have been butchered in the process; some of my best content is gone.  ',neg
1229100687,'MMMMM that sounds DELICIOUS!!! ',pos
1228303291,'I got my beloved sky flakes some sharp cheddar and Rudolph the Red-Nosed Reindeer on the TV. Life can\'t get any better than this ',pos
1230877708,'Snowing in Ghettocrest!  - URL',pos
1230337706,'Mornin everyone!!!! Scholl will b awful cuz the most descent guys were suspended for a while!!!  School is AWFUL, TERRIBLE, UNFAIR!!! ETC.',neg
1229028991,'krista ended up going to motown. hung out with addie and marty today. we saw yes man. it was a cute movie.  LOVE zooey deschanel.',pos
1229711829,'mmmmmmmmm peanut butter on a bagel .  Basically I\'m harassing Chris and browsing the web until work at 4.',pos
1230538501,'kewl... have fun. ',pos
1228356309,'nothing big, but you\'ll still have to wait Mwwwwhahaha ',pos
1228335025,'Super divey? Hmm. Sounds like your tweetup might be more fun than ours. ',pos
1229702339,'haha, sorry. It was just funny reading all his post. Half of all the post was him messaging you. He has a weird icon also ',pos
1229727450,'the snow is coming down strong now...  More snow for my snow walls in front of the apt. More to give the wrx a challenge too :D',pos
1230588564,'hanging with my bro.  ',pos
1229821872,'hey USER thanks for that link re:UStream chat/IRC, looking forward to trying it out  URL',pos
1229232604,'and here we go!  hooray URL',pos
1230007420,'- well cool! If you *and*  USER are there, mebbe. : )',pos
1230061012,'mumbai airport without wi-fi... thats so boring .. ',neg
1230743117,'Plotting to give USER one of his Christmas presents in a few minutes, \'cause he needs it *now*, not later ',pos
1230986236,'V-PAP delivered. No time to try it out for a nap . Going out for dinner w/ some drivers tonight.',neg
1228097376,'Oh,oh. Fighting kids. Not even 12 hours into the holiday break. Where\'s the Christmas spirit? Could be a long 2 weeks. -',pos
1230313343,'We\'ll make dates for moving soon, and be sure, we\'ll be letting you know ',pos
1228308623,'He was on The Last Word about, um, two hours ago. Sorry. I\'ll check Twitter more often',pos
1227548385,'Well I wasn\'t exactly uncheery, but that was pretty amusing. ',pos
1229605265,'u caught me  went to bed early so now woke up early & can\'t sleep ',pos
1229123358,'lazy saturday. about to take new product photos with new ottlit, research new storage units, clean, figure out how to  make $2000 fast ',neg
1230080026,'You won the Badass giveaway!!  nice work. ',pos
1229785590,'Approaching the barbed wire USER Luft Stalag 3.14,dodging the searchlights and hopefully on parade in the morning - baibai gentelz ',pos
1229322633,'Sirens are gone. No Cloverfield.  Probably just a crime.',neg
1229009994,'oh no i wanted to see you before 2009 ',neg
1228689500,'Thanks! After step four, I\'m already taking a break.  After 20-some-odd years, what\'s a few more days/hours/months.',pos
1229358637,'70 Kodak Zi6 HD cameras?? I want one.  Enjoy creating art.',pos
1230149763,'First tweet of 2009 ',pos
1228424221,'getting some work done before braving the snow and ice to my parent\'s house for Christmas Eve! Happy Holidays everyone!  ',pos
1231267719,'good job as always on your vid ',pos
1230145058,'Make it a great evening Tweeps! ',pos
1229319469,'Watching Season 2 of \"24\" with Chris and drinking a bottle of champagne. !',pos
1229032700,'USER Thanks for the excellent podcasts over the years. I\'ve thoroughly enjoyed them, and it was great to finally call in ',pos
1228978532,'  That\'s great advice.  I think I will get fixed up & walk the dog.  Then I\'ll have a happy Amy & a happy dog.',pos
1229665255,'Whoo!  Yeah I\'ll be great for like 3 months now ;)  Thanx ',pos
1229372527,'it was great. waffle house and good convo.  lol',pos
1230417547,'My friend Andrew dancing in the blue with that other band  URL',pos
1228843000,'Just at dinner, had not ate all day long! Going watch some tv now ',pos
1229683209,'might have to join you for some of that blanc de noirs next time ',pos
1229645838,'could also have ended up in dallas together with some missing luggage. ',pos
1229044961,'is bored... time to veg on the couch for a bit ',pos
1228219628,'I reckon it\'s time I started using an enterprise grade operation like OIC ',pos
1231205494,'I may have a very geeky party to attend. ',pos
1230146791,'doing some chores around the house anxiously awaiting for my KM books to arrive ',pos
1229086530,'No Disney today. Matt couldn\'t survive on 4 hours of sleep. I don\'t blame him but I wanted to see the holiday decorations. ',neg
1231130452,'looked for your peppermint ice cream and couldn\'t find it - sorry! ',neg
1230240446,'well if that happens, then it is OVER ',pos
1230431141,'psst. WoW. tonight? 4 of us are on ))) i gotta eat first.',pos
1229644932,'We all miss replies now n\'then. Just check your USER link. \nI\'m with you on the FingerLakes Wired.',pos
1229797595,'This pre-vacation thing is really starting to get in my head. I can\'t concentrate. And I\'ve never felt lazier. Only 1 more day though ',pos
1229461723,'thankful for friends like the ones i have ',pos
1229183304,'Wondering if I\'m the only one working tonight ',neg
1231100165,'Somewhatfrank.com lessons: connect, lead, speak, humanize, optimize - crazy..huh??? ',pos
1231088824,'I\'m so sorry for you and your family   That\'s horrible!',neg
1229566929,'Yeah, I C that!Thanks 4 following both!  The only reason it\'s not SleepNumberSarah (with an h) is cuz of character restriction',pos
1229996953,'had a lovely Christmas. ',pos
1229223228,'AW. BOYS LIKE GIRLS COMMERCIAL ON THE N. ',pos
1228342820,'love the buffalo sabres ...    sorry they lost.   Wings lost too.  Mojo is down. ',pos
1230122131,'...thee onder u voordek laten staan en lig al onder t achterdek...dat wordt dus even kou lijden in t gangboord ',pos
1229555069,'Yes, who the hell doesn\'t ',pos
1228329249,'East Cost Road ... a scenic coastal road ',pos
1229549176,'nope, no pre-teen vamp fict for me.  btw, I hated True Blood too.  My goth cred wanes ',neg
1231271895,'Same league completely honey. I do books like that in a day when I can too.  I love them. Just reading others right now ',pos
1229610970,'that\'s what\'s up. At least u got some kinda respect! ',pos
1229965173,'thanks to USER and the rest of the Yours crew for confirming my holiday weekend ',pos
1229733888,' you just found The Guild! Join us on the forums...URL',pos
1229653464,'PHP and Cookies... ',pos
1229470111,'hiii btw, how do you turn off this red blinking thing?!',pos
1229619339,'Palm Treo Pro Trial Day 3: FTW! Got all my contacts and data transferred from Treo 750. USER we\'re looking good for Monday! ',pos
1228639839,'Great to have the mrs with me tonight! Getting ready to mix a little more then totally crash out. ',pos
1228351292,'right! LOL ',pos
1229663214,'saturday night live ',pos
1229065316,'I don\'t feel good at all ',neg
1228355931,'don\'t fear the years. it gets better, I promise ',pos
1229352469,'is loving the fantastic results im getting from Google  - URL',pos
1229061049,'got to revise for my math test  i hate math cos i suck at it :-|',neg
1229871231,'Still sleeping. But I\'m at work...good thing we have comfortable couches here ',pos
1229539567,'Twitter is 100\% opt-in. You don\'t have to follow anyone.  And you can block anyone. Block a brand, such as mine, if desired. ',pos
1230332306,'agree, don\'t have a filter, agree depending on what type of porn, and agree. ',pos
1230358876,'You saw that thing I tweeted about chocolate, tea, and improved cognitive skills?  There you have it.  ',pos
1230044241,'Upgraded to iPhone 2.2 - still alive and kicking ',pos
1229023170,'thanks for the follow  Hows Ohio?',pos
1228950423,'- Too much and too many to describe in a 140 character tweet certainly ',pos
1228617051,'I suggest you check out my last 2 blog entries over at URL ',pos
1229929542,'Ya I noticed that  Its cool. Be pumped for tomorrow tho. :D',neg
1229025978,'you will love it! ',pos
1226511471,'-- \"vivo, iam non ego, vivit vero in me Christus\" ',pos
1230036866,'are you a mother??? and you do all that running... that amazes )',pos
1229108673,'I\'ve got a touch of the Sunday evening blues for sure. ',neg
1229571441,'Thank you! ',pos
1228843389,'You better reply the YAY to me... I don\'t want to miss that tweet. no, don\'t count the eggs or chickens early! ',pos
1231297360,'Missing my girl on Christmas Eve. Really wish she didn\'t have to work downstate in the morning ',neg
1230020507,'hehehehe I am an expert of not knowing shit. Nice meeting you.  ',pos
1229691796,'Hey my Tweets! What is everybody up to this evening?  I am spinning this gorgeous roving that reminds me of my neighbor\'s garden :D',pos
1229570882,'- cool. : )',pos
1229643301,'Following them! Thanks! ',pos
1228158116,'Thanks for the gifts! ',pos
1230454707,'I just don\'t know what is nice enough to give away or what is worth keeping for another day. Thank you!  Merry Christmas!',pos
1230500578,'Heading to WalMart South to buy more black bed sheets.  IUSER is going to start looking different over the next few weeks!  ',pos
1228768468,'besides, I know Rob will sing your song for you live on the air if you come.  ',pos
1228731608,'Craziness! Just another word for  W E A T H E R.  ',pos
1228500852,'',pos
1229245731,'nite..sleep well!.',pos
1230759116,'Oh good. It\'s nice to know I\'m not alone in my fb confusion. ',pos
1229128635,'Notes1) ground pork belly gives a much better chorizo fresco texture and taste; don\'t bother w/ shoulder; (2) don\'t cure before grinding.',neg
1228483930,'I just texted a girl omfgireelyfugginlkyyew and she understood! And she reelyfugginlykesme2  Still in Oklahoma',pos
1229420766,'USER - I shall purchase my moose pants tomorrow ',pos
1228532820,'Skul then home\nI\'m not really feeling the holiday spirit this year  \nIt\'s just a normal week for me ',neg
1230496041,'been awake since 3:00 am. No idea why, so I started praying. There is alot to pray about these days, go figure ',pos
1229097247,'Btw wat a make over .She\'s cute and happening in de show ',pos
1230971387,'Just installed Twitterrific ',pos
1229486381,'Mmmm.  I\'ve been craving Ramen Noodles.    I guess I\'m easy to please.',pos
1231086670,'Aw that\'s sad =/ good news is i\'m going home 2 study. Wait...how\'s that good news?...Oh right, i can twitter more. ',pos
1229824014,'I\'ve been promoted? w00t!   I\'m off work today - home goofing off. Heading out shortly to get some food!',pos
1230379582,'Remember I\'m the enegizer so I have plenty of battery to keep warm ',pos
1229509699,'Yes, HAPPY BDAY! Mine is the 30th I will be 39! Have a good one!  cm',pos
1229666675,'W00t - got Android phone in the mail!  Will have to wait until weekend to play with ',neg
1228895629,'Going to the Academy of Science with my mom and sister. Family time ',pos
1231017486,'I missed that ',neg
1230951462,'catching up on my blog reading - hey, Amber, thanks for the link ',pos
1231206114,'Forget that, we could just take out a restraining order against USER for stalking you ',pos
1229011955,'even I hv two broken gamepads  lemme know if it gets fixed',neg
1229111477,'I sometimes USER myself so those who see the second message first know to what I am referring. ',pos
1229279979,'Frank threw some nuclear pork rinds into your mulch.  ',pos
1229644602,'Is your haiku under 140 characters? ',pos
1229424646,'w00t, good memories ',pos
1230188911,'Long day going to bed. Busy day tomorrow. Hubby & I are taking kids into NYC to see the Christmas tree, etc & spend day with friends.Gnite',pos
1230083552,'lol anything for broadband on phone. ',pos
1229291199,'that\'s how they do in NE ',pos
1230556028,'Well, now I have to update my LinkedIn profile... But I need to do that anyway ',pos
