@relation C__Users_Haomeng_Desktop_Creativity_of_emoticon_recognition_emoticons

@attribute text string
@attribute @@class@@ {negative,positive,undefined}

@data
'RT @1stAirDel_USMCR: Trump: Bring on #Hillary\'s Pathetic Record\n\nhttps://t.co/C4lkFVGjIr #GOP2016 #Trump2016 #HillaTheHun #Hillary2016\n\n#Un…',negative
'@DLoesch But all bets are on #Hillary2016. She\'s damaged goods. #Benghazi #HillaryEmail etc..',negative
'The only person who\'s happy #JoeBiden isn\'t running is #HillaryClinton. The rest of us are bummed because there will that much less comedy.�?',negative
'User Poll: Is #HillaryClinton \'Less Ethical\' Than Others?\nVote &gt;&gt; https://t.co/ww5jciEGwp\n#SaeptaVote #DNC https://t.co/LEwZqfRPdg',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'@BenjaminNorton #HillaryClinton worked on the Adoption &amp; Safe Families Act in \'97. Welfare reform was needed',negative
'@JAPITTER @LiberalPhenom @richdoll54 @Teddyshouse2II @Quicksilver2723 My take on HRC\'s #ImWithHer. :D\n\nhttps://t.co/wk5cFTn9el',negative
'Still not over fact that @CNN hosts debate but contributed to #Hillary2016 \'s campaign. #FeelTheBern #conflictofinterest #CNNDebate',negative
'RT @ChuckNellis: So, apparently Obama\'s made a deal with @HillaryClinton to keep Biden out &amp; her out of prison? I pray justice is served &amp; …',negative
'Are the #Hillary2016  just blind--I thought that they would get the hint after she ran a dirty campaign and lost to Obama, she\'s the worst',negative
'Joe Biden Isn\'t Running....\n\nHillary Clinton Will Be Our Next President For Sure Now :-\')\n#HillaryClinton',negative
'Mother of Benghazi Victim Blasts Hillary Clinton: \'She\'s Absolutely Lying\' [VIDEO] | The Daily Caller https://t.co/WtpSXoTz8G #Hillary2016',negative
'RT @RoKeT_gal: @RealDrGina @timbotim62 All #HillaryClinton scandals tied to #WhiteHouse #Obama. They\'re afraid she\'ll expose their parts in…',negative
'RT @Ronc99: @JAPITTER @LiberalPhenom @richdoll54 @Teddyshouse2II @Quicksilver2723 My take on HRC\'s #ImWithHer. :D\n\nhttps://t.co/wk5cFTn9el',negative
'RT @Ronc99: @JAPITTER @LiberalPhenom @richdoll54 @Teddyshouse2II @Quicksilver2723 My take on HRC\'s #ImWithHer. :D\n\nhttps://t.co/wk5cFTn9el',negative
'RT @RoKeT_gal: @RealDrGina @timbotim62 All #HillaryClinton scandals tied to #WhiteHouse #Obama. They\'re afraid she\'ll expose their parts in…',negative
'I don\'t think a #Biden candidacy would\'ve helped #HillaryClinton. For 1 thing, they\'d have had to attack each other. https://t.co/rXhZUTl7qo',negative
'RT @SouthernRock3: .@theonlyadult @FlowerInFaith @POTUS He\'s one of a kind for sure. We need #Hillary2016 to appoint him to @SCOTUS.',negative
'Joe Biden\'s decision not 2 run\nGives Hillary Clinton\nHer Rightful opportunity\n#ImWithHer \nhttps://t.co/9Y9b3nBk3q https://t.co/9UxESvlUEv',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'Meet #TreyGowdy, who will preside over #HillaryClinton\'s #Benghazi testimony. https://t.co/nO1xgcdoFT #MTPDaily https://t.co/o8tVo1vSmW',negative
'Why #HillaryClinton should embrace Obama\'s trade deal (again): https://t.co/EzkDTcw4ry via @cogwbur https://t.co/ef3pF8BoLe',negative
'#Hillary2016, because when leadership is needed, she won\'t be there, but she will have \"remarkable\" lies about it.  https://t.co/rY3qqbGIXi',negative
'RT @meetthepress: Meet #TreyGowdy, who will preside over #HillaryClinton\'s #Benghazi testimony. https://t.co/nO1xgcdoFT #MTPDaily https://t…',negative
'\"I would not use the word quote, end quote enemies, to describe fellow Americans.\" - Bernie Sanders echos Biden\'s counter to #Hillary2016',negative
'RT @WBUR: Why #HillaryClinton should embrace Obama\'s trade deal (again): https://t.co/EzkDTcw4ry via @cogwbur https://t.co/ef3pF8BoLe',negative
'RT @Jami_USA: #Hillary2016, because when leadership is needed, she won\'t be there, but she will have \"remarkable\" lies about it.  https://t…',negative
'RT @z_mississippi: How Hillary\'s administration would be different.  #Hillary2016 #DemDebate http://t.co/UmzzpZwwjA',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @meetthepress: Meet #TreyGowdy, who will preside over #HillaryClinton\'s #Benghazi testimony. https://t.co/nO1xgcdoFT #MTPDaily https://t…',negative
'After #Pakistan\'s father in-laws (Bill Clinton, Bush, Obama) failed to deal with  her, all eyes are on her mother in-law (#HillaryClinton).',negative
'RT @Pros4Hillary: \"If you\'re a hooker &amp; want to be registered to vote, you should be a registered voter—period.\" #Hillary2016 #HookersForHi…',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @HillaryIn2016: Does anyone know what time Hillary\'s Benghazi hearing starts tomorrow? I want to make sure I don\'t miss it. #Hillary2016',negative
'RT @HillaryDR22: Clinton Rule: If you don\'t get caught everything is alright. https://t.co/0p1Yf19zQk #HillaryLiesMatter #Hillary2016',negative
'massive gaffe: Hillary admission that gun confiscation is something she\'d consider. What @NRA has said for years. \n#Hillary2016 #clinton2016',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @meetthepress: Meet #TreyGowdy, who will preside over #HillaryClinton\'s #Benghazi testimony. https://t.co/nO1xgcdoFT #MTPDaily https://t…',negative
'#HillaryClinton\'s reaction to learning #vpjoebiden isn\'t running for president #Veep https://t.co/rNARJJwQFP',negative
'RT @Jami_USA: #Hillary2016, because when leadership is needed, she won\'t be there, but she will have \"remarkable\" lies about it.  https://t…',negative
'there.. now it\'s a win-win #Trump2016 #Hillary2016',negative
'Gingrich: Hillary Clinton ‘Very, Very Unlikely\' Nominee - Breitbart https://t.co/MaU5G3Odwx via @BreitbartNews #Hillary2016 #HillaryClinton',negative
'#cnn and team #hillaryclinton will surely declare this a win and support from #Biden . Even as his speech clearly supports #berniesanders :(',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'So what kind of happy dance do you think Hillary Clinton did when she heard Joe Biden isn\'t running for President? #Biden #HillaryClinton',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @MantonieByrd: Hillary\'s reaction #JoeBiden #HillaryClinton #Biden https://t.co/ZT4mUCyIyU',negative
'RT @SueLynsey: Remember when? Keep this photo in mind if you\'re thinking about voting for Hillary. #Hillary2016 http://t.co/VGfVlwj88n',negative
'Chris Matthews: #Hillary2016 Calling GOP Enemies \'A Real Problem,\' Nixon \'Had An Enemies List\' https://t.co/L63MfNw1Sg  #HillaryClinton',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @Ronc99: @JAPITTER @LiberalPhenom @richdoll54 @Teddyshouse2II @Quicksilver2723 My take on HRC\'s #ImWithHer. :D\n\nhttps://t.co/wk5cFTn9el',negative
'well , i\'m glad to see VP Joe Biden took my advice.... #Hillary2016',negative
'RT @BedfordMatters: \"The American people are tired of liars &amp; people who pretend to be something they\'re not.\" #Hillary2016 @Pros4Hillary h…',negative
'RT @Pros4Hillary: Help the #HookersForHillary help Hillary to get on top... Follow &amp; share RT\'s #Hillary2016 #HillaryLiesMatter #Benghazi',negative
'RT @Jami_USA: #Hillary2016, because when leadership is needed, she won\'t be there, but she will have \"remarkable\" lies about it.  https://t…',negative
'Clinton Foundation Donors Got Weapons Deals From Hillary Clinton\'s State Department https://t.co/eBEWy56Tp7\n#FeelTheBern #Hillary2016',negative
'If you can\'t run in the race you don\'t stand by the track and trip your teammates. #Biden #Hillary2016 #DemocratsUnite',negative
'RT @SueLynsey: Remember when? Keep this photo in mind if you\'re thinking about voting for Hillary. #Hillary2016 http://t.co/VGfVlwj88n',negative
'RT @JesusForBernie: Clinton Foundation Donors Got Weapons Deals From Hillary Clinton\'s State Department https://t.co/eBEWy56Tp7\n#FeelTheBer…',negative
'.@reallyandrea @kerryfjacob I know. We\'ll drag u kicking &amp; screaming into equality along w/ @GOP.   #Hillary2016',negative
'RT @UniteWomenMT: Grilling #HillaryClinton on #Benghazi could backfire... Here\'s why https://t.co/ak2UZsPjv0 #usa #politics',negative
'The only thing I don\'t like about #Hillary2016 is her desperation...and donors....and flip flopping on issues such as #KeystoneXL+#TTIP.',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @JC7109: It\'s ALL your fault...\n\n#wakeupAmerica #tcot #uniteblue  #tgdn #hillary2016 https://t.co/D9HbEBKmr2',negative
'I\'m not a mean partisan type, have nothing against #HillaryClinton personally, but I just don\'t see how she\'ll change anything 4 the better.',negative
'Donald Lambro - Hillary Clinton\'s Terrible, Horrible, No Good, Very Bad, Rotten Week  https://t.co/Qv718ajKgC #Hillary2016 #HillaryClinton',negative
'#FeelTheBern #Hillary2016\nClinton\'s State Department made multiple massive arms deals with donors to her foundation: https://t.co/uftuaiQIX1',negative
'#HillaryClinton \'s campaign doesn\'t seem to care about ugly trade deals, immigration, street crime, or Corporations moving overseas...',negative
'Jonah Goldberg - Hillary Clinton\'s Enabler-in-Chief https://t.co/u81YAneBeX #Hillary2016 #HillaryClinton',negative
'RT @UniteWomenMT: Grilling #HillaryClinton on #Benghazi could backfire... Here\'s why https://t.co/ak2UZsPjv0 #usa #politics',negative
'Woman Who Watched Her Parents\' Execution in Gun Free Zone Slams Hillary Clinton\'s Gun Control Proposals https://t.co/IfUqAB9rGy #Hillary2016',negative
'Hillary Clinton\'s accent evolution (1983–2015) She\'s a great actress. #Hillary2016 #HillaryClinton #accents  https://t.co/IZWOMLK7oO',negative
'RT @JesusForBernie: #FeelTheBern #Hillary2016\nClinton\'s State Department made multiple massive arms deals with donors to her foundation: ht…',negative
'RT @JesusForBernie: #FeelTheBern #Hillary2016\nClinton\'s State Department made multiple massive arms deals with donors to her foundation: ht…',negative
'@ozarklady76 If you don\'t vote for #HillaryClinton \"just because she\'s a woman\", you are anti-stupid &amp; the liberal media will hunt you down',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'RT @JesusForBernie: #FeelTheBern #Hillary2016\nClinton\'s State Department made multiple massive arms deals with donors to her foundation: ht…',negative
'RT @SueLynsey: Remember when? Keep this photo in mind if you\'re thinking about voting for Hillary. #Hillary2016 http://t.co/VGfVlwj88n',negative
'RT @DunstableMAGOP: Don\'t let #ClintonCash give you a #ClintonRash. Get your rash from #HookersForHillary. #Hillary2016 #FF @Pros4Hillary',negative
'interesting take on #Biden\'s final bow. i still appreciate him, tho. #politics #campaign #HillaryClinton  https://t.co/ULimkaz2Es',negative
'@HillaryClinton\'s Opening Statement from the #DemDebate:\nhttps://t.co/Bb6YR8N0xV \n�?�?�🇺🇸#Hillary2016 #UniteBlue #ImWithHer #Florida',negative
'@JoeBiden Say it ain\'t so Joe, please don\'t leave us with #HillaryClinton',negative
'Elijah @RepCummings explain why you plays politics by emailing #HillaryClinton congrats that #Baltiimore riots blamed on O\'Malley #tcot',negative
'Not sure what new #HillaryClinton can bring to Presidency...other than 1960\'s repost..https://t.co/CwisZ8UhUc',negative
'#Biden\'ın yarıştan çekilmesi #HillaryClinton\'ı Demokrat parti Başkan adayı yaptı https://t.co/v5z7ClW7cS',negative
'People keep assuming #HillaryClinton will get the nomination, people are sleeping on #BernieSanders he\'s the better candidate #Election2016',negative
'RT @LIBsouthernGRL: Come on people‼�? Why can\'t you understand�?��? #FeelTheBern #UniteBlue #StopCorporateSocialism #Bernie2016 #Hillary2016 ht…',negative
'It\'s as if #Hillary2016 campaign is based on some 1990\'s \'spice girls\' vibe or 60\'s revolution for women...https://t.co/CwisZ8UhUc',negative
'RT @Christians4HRC: Joe Biden is a beloved public servant &amp; he made the right choice for himself, @TheDemocrats and this race. It\'s time to…',negative
'RT @TheKevinLarkin: @ozarklady76 If you don\'t vote for #HillaryClinton \"just because she\'s a woman\", you are anti-stupid &amp; the liberal medi…',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'Dear media, when is she \"Hillary Rodham Clinton\" and when is she just \"@HillaryClinton\"? I don\'t get it. #HillaryClinton',negative
'Joe #Biden won\'t run for president - https://t.co/Nr72ZkF9fm via https://t.co/ZuN7LluyX9 #Democrats #HillaryClinton #BernieSanders #Election',negative
'I wouldn\'t vote for Joe Biden or Bernie Sanders, only voting for Hillary Clinton 📌 #Hillary2016',negative
'RT @GenBoykin: TONIGHT \"Betrayal at #Benghazi: The Cost of #HillaryClinton\'s Dereliction and Greed\" on @OANN https://t.co/sdIwAWfQYF  6pm/1…',negative
'RT @StrengthenTheUS: No children, it\'s not Halloween. It\'s just the wicked witch melting. https://t.co/bRxsKXOU5l #Hillary2016 #Hillary htt…',negative
'As we head into tomorrow\'s hearings, remind everyone you stand with #HillaryClinton #ImWithHer \nhttps://t.co/pCBXEj4cAs',negative
'RT @GenBoykin: TONIGHT \"Betrayal at #Benghazi: The Cost of #HillaryClinton\'s Dereliction and Greed\" on @OANN https://t.co/sdIwAWfQYF  6pm/1…',negative
'It\'s the liberal way. \n\n#fairshare #FeelTheBern #Hillary2016 #Obama https://t.co/8KaBzwwgiE',negative
'RT @tates5a: STOP \'THE FOREVER WAR\': #HillaryClinton backs #Obama\'s #Afghanistan Plan http://t.co/AJ4VqmFmjn #Bernie2016 #FeelTheBern',negative
'Ryan Demands Family Time In His New Job. Many Americans Aren\'t So Lucky. #UnitedBlue #MorningJoe #Hillary2016 https://t.co/hApRJeJwPh',negative
'RT @tates5a: THE PEOPLE\'S CANDIDATE: @BernieSanders easily outdraws #HillaryClinton among small donors http://t.co/SQ3FWCMYcg #Bernie2016 #…',negative
'RT @rossssc: If your attacking #HillaryClinton OR #BernieSanders over some stupid Ass crap #MSNBC #CNN are \"Reporting\"about Joe Biden, You\'…',negative
'Hillary better step up her golf game, that\'s like 90\% of the job. #HillaryClinton',negative
'@cnnbrk Breaking news: Bob Woodward declares #HillaryClinton the Democratic Nominee. Go home folks, it\'s over.',negative
'#HillaryClinton is beating #BernieSanders never thought I\'d root for her but honestly I think she\'d at least be better them him.',negative
'RT @GKMTNtwits: Is media that doesn\'t follow Benghazi $ really media? @mitchellreports #MSMfail15 #HillaryBias #HillaryClinton https://t.co…',negative
'Ask yourself: why would the repressive, authoritarian kingdom of Saudi Arabia give Hillary\'s charity millions of dollars?\n#Hillary2016',negative
'Watch @KennedyNation tonight at 8pm on FBN cuz @Gavin_McInnes @dagenmcdowell &amp; I talk #JoeBiden #HillaryClinton #Putin\'sNipples &amp; #Sharks.',negative
'\"It\'s time that Congress also honors their legacy &amp; truly focuses on strengthening our expeditionary diplomacy.\"  #ImWithHer',negative
'RT @JesusForBernie: Ask yourself: why would the repressive, authoritarian kingdom of Saudi Arabia give Hillary\'s charity millions of dollar…',negative
'#ImWithHer. Watch the video on Hillary\'s time as Secretary of State: https://t.co/C2bzbKOdaF',negative
'#DonaldTrump\'s up 32\% now by #CNN polls. Don\'t think I\'m down with you bitch #HillaryClinton Trump still gonna kick your ass. #Trump2016',negative
'RT @JesusForBernie: Ask yourself: why would the repressive, authoritarian kingdom of Saudi Arabia give Hillary\'s charity millions of dollar…',negative
'RT @PolToons: Hillary\'s Perspective @Varvel #SheLies #HillaryLiesMatter #Hillary2016 https://t.co/hbgupPr2Q7 https://t.co/Xl9eCLpNz4',negative
'RT @ErinLCarmichael: These hearings will heal &amp;  #UniteBlue They won\'t lay a glove on her, &amp; anyone counting on FBI charges, will be disapp…',negative
'.@HillaryClinton\'s plan to keep Wall St accountable. Check it out: https://t.co/gHZnLvRZ8r #Hillary2016',negative
'Senza #Biden la strada di #Hillary è sempre più in discesa...L\'ex First lady è pronta a planare direttamente nello Studio Ovale #Hillary2016',negative
'RT @OutforHillary: I\'m fighting to...\n�?��?󾓬󾓦#OutForHillary #Hillary2016 #HillaryClinton #LGBT \n*Follow @outforhillary on Facebook,... https:/…',negative
'RT @OutforHillary: Hillary Clinton\'s vision for an LGBT inclusive America:\n󾮞�?�󾓬󾓦#Hillary2016 #HillaryClinton #LGBT #Equality... http://t.co/…',negative
'RT @ChuckNellis: So, apparently Obama\'s made a deal with @HillaryClinton to keep Biden out &amp; her out of prison? I pray justice is served &amp; …',negative
'@FDRLST I\'ll bet #HillaryClinton #hildebeesthashtags got her panties wet too, and that\'s a rude thought.',negative
'On the eve of Hillary\'s public testimony in front of the Benghazi Committee #ImWithHer https://t.co/06zjPDcogl via @YouTube',negative
'RT @Clarknt67: .@VP Biden\'s \"bipartisanship\" pitch has no bearing on the reality of American politics in 2016. #Hillary2016 https://t.co/G9…',negative
'RT @nikroybal: \"It\'s time that Congress also honors their legacy &amp; truly focuses on strengthening our expeditionary diplomacy.\"  #ImWithHer',negative
'What will #JoeBiden on the sidelines mean to #HillaryClinton campaign? @ForeignPolicy\'s @John_Hudson assesses https://t.co/kgo7okHqaT',negative
'RT @ChuckNellis: So, apparently Obama\'s made a deal with @HillaryClinton to keep Biden out &amp; her out of prison? I pray justice is served &amp; …',negative
'A reason to vote #BernieSanders, Republicans will be ready to impeach #HillaryClinton the day she\'s sworn in https://t.co/aqsOncpWTl #DNC',negative
'RT @GKMTNtwits: Is media that doesn\'t follow Benghazi $ really media? @mitchellreports #MSMfail15 #HillaryBias #HillaryClinton https://t.co…',negative
'@WRH_Mike_Rivero\'s https://t.co/TxjR055bMD #news #program 10/21/15 #Israel #Iran #HillaryClinton #BernieSanders https://t.co/GDvTiTbHo0',negative
'RT @FPMediaDept: What will #JoeBiden on the sidelines mean to #HillaryClinton campaign? @ForeignPolicy\'s @John_Hudson assesses https://t.co…',negative
'RT @MO4Hillary: As we head into tomorrow\'s hearings, remind everyone you stand with #HillaryClinton #ImWithHer \nhttps://t.co/pCBXEj4cAs',negative
'Polls: #HillaryClinton\'s Post-Debate Lead Grows https://t.co/iVo64EOijI via @sharethis #Dems #p2',negative
'The only thing that\'s surging on #HillaryClinton is the fat around her waist. Thank God for her new bestie, elastic. #pjnet #uniteblue',negative
'Chris Christie\'s blood pressure and cholesterol levels are higher than the number of people willing to vote for him. #Trump2016 #Hillary2016',negative
'Doesn\'t #HillaryClinton Know the Law? via VICTORIA TOENSING https://t.co/jld6dl5dt4 #lnyhbt @seanhannity #BenghaziCommittee #Benghazi #tcot',negative
'RT @MO4Hillary: As we head into tomorrow\'s hearings, remind everyone you stand with #HillaryClinton #ImWithHer \nhttps://t.co/pCBXEj4cAs',negative
'RT @MO4Hillary: As we head into tomorrow\'s hearings, remind everyone you stand with #HillaryClinton #ImWithHer \nhttps://t.co/pCBXEj4cAs',negative
'RT @MO4Hillary: As we head into tomorrow\'s hearings, remind everyone you stand with #HillaryClinton #ImWithHer \nhttps://t.co/pCBXEj4cAs',negative
'Bobby Jindal is so low in the polls that he\'s just been surpassed by \'other\'. #Trump2016 #Hillary2016',negative
'@CNN @BernieSanders @VP \"I respect the decision he made\"= Whew, glad he\'s not in the race and so is Hillary. #Hillary2016 #HillaryClinton',negative
'RT @ChuckNellis: So, apparently Obama\'s made a deal with @HillaryClinton to keep Biden out &amp; her out of prison? I pray justice is served &amp; …',negative
'RT @ChuckNellis: So, apparently Obama\'s made a deal with @HillaryClinton to keep Biden out &amp; her out of prison? I pray justice is served &amp; …',negative
'RT @MO4Hillary: As we head into tomorrow\'s hearings, remind everyone you stand with #HillaryClinton #ImWithHer \nhttps://t.co/pCBXEj4cAs',negative
